Product Name,Prices
"realme C20 (Cool Blue, 32 GB)","6,999"
"realme C20 (Cool Grey, 32 GB)","6,999"
"REDMI 9i (Nature Green, 64 GB)","8,299"
"POCO M3 (Power Black, 64 GB)","11,499"
"POCO M3 (Power Black, 64 GB)","10,499"
"REDMI 9 Prime (Matte Black, 64 GB)","9,999"
"realme Narzo 30 5G (Racing Silver, 128 GB)","15,999"
"realme Narzo 30 5G (Racing Blue, 128 GB)","15,999"
"REDMI 9i (Midnight Black, 64 GB)","8,299"
"realme C21 (Cross Black, 32 GB)","8,499"
"realme C21 (Cross Blue, 32 GB)","8,499"
"realme C21 (Cross Black, 64 GB)","9,499"
"realme C21 (Cross Blue, 64 GB)","9,499"
"REDMI 9i (Sea Blue, 64 GB)","8,299"
"POCO M3 (Cool Blue, 64 GB)","11,499"
"realme Narzo 30 (Racing Silver, 64 GB)","12,499"
"POCO M3 (Yellow, 64 GB)","11,499"
"realme 8 5G (Supersonic Black, 128 GB)","14,999"
"REDMI 9 Power (Mighty Black, 64 GB)","10,999"
"REDMI 9 Power (Blazing Blue, 64 GB)","10,999"
"realme 8 5G (Supersonic Blue, 64 GB)","13,999"
"realme Narzo 30A (Laser Black, 32 GB)","8,999"
"realme Narzo 30A (Laser Black, 64 GB)","9,999"
"realme Narzo 30A (Laser Blue, 32 GB)","8,999"
